PDB_file, description
ak2_seed-40_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=40 sample=1 template=off
ak2_seed-40_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=40 sample=2 template=off
ak2_seed-40_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=40 sample=3 template=off
ak2_seed-40_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=40 sample=4 template=off
ak2_seed-41_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=41 sample=0 template=off
ak2_seed-41_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=41 sample=1 template=off
ak2_seed-41_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=41 sample=2 template=off
ak2_seed-41_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=41 sample=3 template=off
ak2_seed-41_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=41 sample=4 template=off
ak2_seed-42_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=42 sample=0 template=off
ak2_seed-42_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=42 sample=1 template=off
ak2_seed-42_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=42 sample=2 template=off
ak2_seed-42_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=42 sample=3 template=off
ak2_seed-42_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=42 sample=4 template=off
ak2_seed-43_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=43 sample=0 template=off
ak2_seed-43_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=43 sample=1 template=off
ak2_seed-43_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=43 sample=2 template=off
ak2_seed-43_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=43 sample=3 template=off
ak2_seed-43_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=43 sample=4 template=off
ak2_seed-44_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=44 sample=0 template=off
ak2_seed-44_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=44 sample=1 template=off
ak2_seed-44_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=44 sample=2 template=off
ak2_seed-44_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=44 sample=3 template=off
ak2_seed-44_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=44 sample=4 template=off
ak2_seed-45_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=45 sample=0 template=off
ak2_seed-45_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=45 sample=1 template=off
ak2_seed-45_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=45 sample=2 template=off
ak2_seed-45_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=45 sample=3 template=off
ak2_seed-45_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=45 sample=4 template=off
ak2_seed-46_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=46 sample=0 template=off
ak2_seed-46_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=46 sample=1 template=off
ak2_seed-46_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=46 sample=2 template=off
ak2_seed-46_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=46 sample=3 template=off
ak2_seed-46_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=46 sample=4 template=off
ak2_seed-47_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=47 sample=0 template=off
ak2_seed-47_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=47 sample=1 template=off
ak2_seed-47_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=47 sample=2 template=off
ak2_seed-47_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=47 sample=3 template=off
ak2_seed-47_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=47 sample=4 template=off
ak2_seed-48_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=48 sample=0 template=off
ak2_seed-48_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=48 sample=1 template=off
